gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7SK,25.939539337617656,8.798895450779481,2.2304324241947464,3.9449280575967904,7.982394036836053e-5,0.0024378231388497303
A1BG,300.25924117752186,-1.0154586177246878,0.5206482849569305,-1.9503734998544928,0.051131618023784964,0.15941247577261655
A1BG-AS1,14.716799572056681,-2.2912907944879115,1.1932113043124488,-1.9202724498224537,0.054823494419671825,0.16646545233413976
A4GALT,19.610643429423202,-3.326765423488859,1.7417929684655675,-1.909966042875677,0.05613758562203481,0.16917721185089235
AAAS,1030.5396641280327,1.1285264602128389,0.28661100698297515,3.937484718721476,8.234017376620469e-5,0.0024824785362884197
AACS,561.7084906479414,-0.15129672936253474,0.2991026367257846,-0.5058354918523926,0.6129721406378354,0.767031433871978
AAGAB,963.6031040615253,0.02635333964138643,0.22581820211194328,0.11670157407560296,0.9070965428692064,0.9536270078527406
AAK1,862.1769386821057,-0.42922753832953936,0.42253757517916324,-1.0158328242110526,0.30970900226102804,0.5056405928072167
AAMDC,72.6882048080719,-1.8051976953453681,0.803445712202675,-2.246819751388497,0.024651548943226895,0.09894239736433107
AAMP,2140.092085389928,0.5112669012738067,0.3528550386624573,1.4489431785127118,0.1473534515197365,0.31569563155235114
AANAT,0.5184870890565976,-2.845724853672519,4.648888671792387,-0.6121301357331375,0.5404516605403472,NA
AAR2,1060.4332869833756,-0.04121502912575422,0.2091799618614199,-0.19703144010064816,0.8438029343681964,0.9175872033499124
AARD,5.166720348539753,-0.13019002478758482,1.879268681136011,-0.06927696188119595,0.9447691634271271,0.9730625337604364
AARS1,2951.702939379445,0.6766314112736944,0.3792491269489583,1.7841343939725396,0.07440182967552561,0.20295032853613362
AARS2,364.06323991022487,1.1566721148044057,0.5656632129483263,2.044807030628079,0.04087388635934172,0.13709243675213917
AARSD1,573.4225444773213,1.1451959463473482,0.5093521315167037,2.248338380242535,0.02455462114577568,0.0986189018663847
AARSD1P1,1.3339663825459198,-2.288673390391582,3.4380217350564477,-0.6656948579046738,0.5056061609081246,NA
AASDH,111.62601340458649,0.013253357456641803,0.357747828028683,0.03704664687881542,0.9704478124170123,0.9854194770320372
AASDHPPT,821.7902145467656,0.5808657169404282,0.376439040305264,1.5430538672858942,0.12281770661914675,0.28240120163745985
AASS,4.051120350498597,1.0685110306082004,3.283375896850204,0.32543061293507103,0.7448551895584719,0.8581144012934118
AATBC,1.0478000762140915,0.7461676066879213,3.0433198262843524,0.24518211994791608,0.8063154201537551,NA
AATF,1722.4581049372573,0.29464641571493355,0.2751384135714423,1.0709025028176438,0.284213270398235,0.47951631514180626
AATK,4.4489937412702325,-1.0718157727959032,2.214699977010616,-0.48395529142625965,0.6284175989356967,0.7784543790480699
ABALON,8.823488671673717,4.710059834454966,1.9242628326193352,2.44772167014397,0.014376266215747899,0.07024720597944853
ABAT,164.30015006189052,0.02875673608777616,0.4776545876211239,0.06020404039453303,0.9519931277847232,0.9764005456497913
ABCA1,6.005178247030884,1.0015543539060272,1.565562134362397,0.6397410437586547,0.5223409671396388,0.6987425815350228
ABCA11P,2.303052907725167,-0.2427417499401116,2.700465204734082,-0.08988886415369113,0.9283755304453422,NA
ABCA17P,1.2306546735823827,-2.18762823757649,2.7906927687323293,-0.7839014964625501,0.433097911633087,NA
ABCA2,261.7113940792164,-2.401654302492959,0.893607898447662,-2.6875929662942903,0.007196906534572318,0.045169240765688165
ABCA3,155.22998724550456,-0.22807448450847365,0.45036361623869114,-0.506422979754197,0.6125597459429228,0.7668774201751679
